,상호명,상권업종중분류명,상권업종소분류명,도로명주소,역명,거리,카카오url,역,검색어
83,위카페,커피점/카페,커피전문점/카페/다방,서울특별시 송파구 위례광장로 163,5호선 거여,1025.0748941646186,https://place.map.kakao.com/1842059656,거여,거여역 위카페
84,카페올리브,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 신정중앙로21길 37,5호선 신정(은행정),614.9644632992912,https://place.map.kakao.com/914964898,신정,신정역 카페올리브
85,인터뷰,커피점/카페,커피전문점/카페/다방,서울특별시 종로구 종로3길 33,5호선 광화문(세종문화회관),236.2198578005018,https://place.map.kakao.com/21397837,광화문,광화문역 인터뷰
86,이칠삼,커피점/카페,커피전문점/카페/다방,서울특별시 마포구 토정로 273,5호선 마포,634.9524698687045,https://place.map.kakao.com/355023211,마포,마포역 이칠삼
87,투썸강서,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 공항대로 30,5호선 송정,89.04374313187563,https://place.map.kakao.com/997025803,송정,송정역 투썸강서
88,커피로,커피점/카페,커피전문점/카페/다방,서울특별시 강동구 천호대로175길 39,5호선 강동,332.6493103743252,https://place.map.kakao.com/1699738382,강동,강동역 커피로
89,커피나무,커피점/카페,커피전문점/카페/다방,서울특별시 송파구 오금로46길 11,5호선 개롱,309.10633587054434,https://place.map.kakao.com/16590089,개롱,개롱역 커피나무
90,순수커피,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 마곡서1로 68,5호선 마곡,447.59383433577085,https://place.map.kakao.com/233471725,마곡,마곡역 순수커피
91,cafe멍,커피점/카페,커피전문점/카페/다방,서울특별시 송파구 동남로18길 49,5호선 개롱,433.4816966305768,https://place.map.kakao.com/46285524,개롱,개롱역 cafe멍
92,카페루앤비,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 국회대로28길 13-1,5호선 영등포구청,204.09367323422225,https://place.map.kakao.com/559174729,영등포구청,영등포구청역 카페루앤비
93,카페벨로마노,커피점/카페,커피전문점/카페/다방,서울특별시 광진구 구천면로 13,5호선 광나루(장신대),433.36813522149015,https://place.map.kakao.com/16069453,광나루,광나루역 카페벨로마노
94,독립문커피,커피점/카페,커피전문점/카페/다방,서울특별시 서대문구 독립문로14길 22,5호선 충정로(경기대입구),388.1936005988826,https://place.map.kakao.com/1574878383,충정로,충정로역 독립문커피
95,스타벅스,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 등촌로 57,5호선 목동,646.8947808287917,https://place.map.kakao.com/389160790,목동,목동역 스타벅스
96,스타벅스,커피점/카페,커피전문점/카페/다방,서울특별시 마포구 독막로 311,5호선 마포,330.2400649641356,https://place.map.kakao.com/7968246,마포,마포역 스타벅스
97,스타벅스,커피점/카페,커피전문점/카페/다방,서울특별시 광진구 광나루로 519,5호선 아차산(어린이대공원후문),541.3650524535199,https://place.map.kakao.com/1108578514,아차산,아차산역 스타벅스
98,카페케이,커피점/카페,커피전문점/카페/다방,서울특별시 종로구 종로1길 50,5호선 광화문(세종문화회관),324.24019575533544,https://place.map.kakao.com/153504350,광화문,광화문역 카페케이
99,스타벅스,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 선유로 64,5호선 양평,542.8328036486437,https://place.map.kakao.com/934797745,양평,양평역 스타벅스
100,와플반트,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 선유로 120,5호선 영등포구청,368.9853493816413,https://place.map.kakao.com/27283242,영등포구청,영등포구청역 와플반트
101,에르마노키즈카페,커피점/카페,커피전문점/카페/다방,서울특별시 강동구 상암로 195,5호선 굽은다리(강동구민회관앞),125.7282660773168,https://place.map.kakao.com/26853072,굽은다리,굽은다리역 에르마노키즈카페
102,카페멜로우,커피점/카페,커피전문점/카페/다방,서울특별시 송파구 송이로17길 58-26,5호선 오금,142.5799312476756,https://place.map.kakao.com/26610969,오금,오금역 카페멜로우
103,카페IN,커피점/카페,커피전문점/카페/다방,서울특별시 강동구 양재대로136길 58,5호선 명일,382.1171473550572,https://place.map.kakao.com/1524488014,명일,명일역 카페IN
104,카페까사데,커피점/카페,커피전문점/카페/다방,서울특별시 강동구 고덕로62길 126,5호선 고덕,475.3924803854097,https://place.map.kakao.com/1591365568,고덕,고덕역 카페까사데
105,스타벅스,커피점/카페,커피전문점/카페/다방,서울특별시 광진구 아차산로 607,5호선 광나루(장신대),322.19255455866744,https://place.map.kakao.com/21058555,광나루,광나루역 스타벅스
106,이디야커피,커피점/카페,커피전문점/카페/다방,서울특별시 송파구 오금로 306,5호선 오금,36.308083419359534,https://place.map.kakao.com/16821111,오금,오금역 이디야커피
107,스타벅스,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 여의공원로 101,5호선 여의도,424.111269135095,https://place.map.kakao.com/8438452,여의도,여의도역 스타벅스
108,스타벅스,커피점/카페,커피전문점/카페/다방,서울특별시 강동구 양재대로 1487,5호선 길동,30.254027165291557,https://place.map.kakao.com/25017323,길동,길동역 스타벅스
109,설빙,커피점/카페,커피전문점/카페/다방,서울특별시 강동구 동남로75길 13-25,5호선 상일동,150.6200068942569,https://place.map.kakao.com/1902071986,상일동,상일동역 설빙
110,조이,커피점/카페,커피전문점/카페/다방,서울특별시 강동구 구천면로 339,5호선 굽은다리(강동구민회관앞),751.900800492101,https://place.map.kakao.com/1939079328,굽은다리,굽은다리역 조이
111,하울까페,커피점/카페,커피전문점/카페/다방,서울특별시 성동구 살곶이길 50,5호선 마장,300.0736052087081,https://place.map.kakao.com/14933908,마장,마장역 하울까페
112,카페드림,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 목동동로12길 20,5호선 오목교(목동운동장앞),175.01426835674306,https://place.map.kakao.com/26409929,오목교,오목교역 카페드림
113,커피하우스,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 오목로 354,5호선 오목교(목동운동장앞),273.5975828289538,https://place.map.kakao.com/1898322959,오목교,오목교역 커피하우스
114,스타벅스,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 의사당대로 127,5호선 여의도,206.89262217887924,https://place.map.kakao.com/8438452,여의도,여의도역 스타벅스
115,카페라루라루,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 화곡로13길 26,5호선 우장산,631.0682531859699,https://place.map.kakao.com/27473452,우장산,우장산역 카페라루라루
116,커피집,커피점/카페,커피전문점/카페/다방,서울특별시 송파구 송이로31길 6,5호선 개롱,706.916409734185,https://place.map.kakao.com/96855067,개롱,개롱역 커피집
117,스타벅스,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 목동서로 299,5호선 목동,525.6411648833944,https://place.map.kakao.com/389160790,목동,목동역 스타벅스
118,스타벅스광장점,커피점/카페,커피전문점/카페/다방,서울특별시 광진구 아차산로 537-17,5호선 광나루(장신대),452.84526937677015,https://place.map.kakao.com/17884750,광나루,광나루역 스타벅스광장점
119,카페나루,커피점/카페,커피전문점/카페/다방,서울특별시 광진구 광장로1길 18,5호선 광나루(장신대),216.45745938549305,https://place.map.kakao.com/16089320,광나루,광나루역 카페나루
120,커피마마,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 곰달래로 46,5호선 화곡,820.9651762039505,https://place.map.kakao.com/1521208341,화곡,화곡역 커피마마
121,까치산커피,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 곰달래로25길 25,5호선 까치산,285.1288844002508,https://place.map.kakao.com/1880321886,까치산,까치산역 까치산커피
122,쏭다방,커피점/카페,커피전문점/카페/다방,서울특별시 송파구 성내천로18길 3,5호선 거여,314.28576313217764,https://place.map.kakao.com/2142607598,거여,거여역 쏭다방
123,이디야커피,커피점/카페,커피전문점/카페/다방,서울특별시 강동구 동남로75길 19,5호선 고덕,174.7052743266922,https://place.map.kakao.com/21656235,고덕,고덕역 이디야커피
124,비비민트,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 지양로 32,5호선 까치산,1400.9203522929165,https://place.map.kakao.com/18597694,까치산,까치산역 비비민트
125,자마이카,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 월정로 97,5호선 까치산,831.5320365583724,https://place.map.kakao.com/19774376,까치산,까치산역 자마이카
126,휘카페,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 오목로9길 17,5호선 까치산,708.1875712770078,https://place.map.kakao.com/4841863,까치산,까치산역 휘카페
127,커피빈,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 목동서로 170,5호선 오목교(목동운동장앞),393.5839487503875,https://place.map.kakao.com/26914995,오목교,오목교역 커피빈
128,커피빈,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 국제금융로 52,5호선 여의도,337.2832413034856,https://place.map.kakao.com/18567614,여의도,여의도역 커피빈
129,빽다방,커피점/카페,커피전문점/카페/다방,서울특별시 송파구 마천로 25,5호선 방이,219.1542550756941,https://place.map.kakao.com/765158991,방이,방이역 빽다방
130,카페피아트121,커피점/카페,커피전문점/카페/다방,서울특별시 광진구 아차산로78길 7,5호선 광나루(장신대),728.3266635709754,https://place.map.kakao.com/19790882,광나루,광나루역 카페피아트121
131,쥬씨시범단지점,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 63로 45,5호선 여의나루,613.0614356755768,https://place.map.kakao.com/1355899800,여의나루,여의나루역 쥬씨시범단지점
132,커피베이당산하늘점,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 버드나루로 88,5호선 영등포시장,528.5776200870422,https://place.map.kakao.com/601805914,영등포시장,영등포시장역 커피베이당산하늘점
133,이디야커피,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 우현로 15,5호선 화곡,508.4713983050608,https://place.map.kakao.com/26463339,화곡,화곡역 이디야커피
134,쥬씨,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 목동중앙남로 24-1,5호선 목동,724.8849420521159,https://place.map.kakao.com/1307852377,목동,목동역 쥬씨
135,커피에반하다,커피점/카페,커피전문점/카페/다방,서울특별시 송파구 오금로31길 17,5호선 방이,428.5264407280078,https://place.map.kakao.com/20089290,방이,방이역 커피에반하다
136,파우치커피,커피점/카페,커피전문점/카페/다방,서울특별시 서대문구 충정로 30,5호선 충정로(경기대입구),68.49919331158418,https://place.map.kakao.com/20349794,충정로,충정로역 파우치커피
137,잎과콩,커피점/카페,커피전문점/카페/다방,서울특별시 강동구 양재대로96길 79,5호선 둔촌동,586.4460231769243,https://place.map.kakao.com/21526511,둔촌동,둔촌동역 잎과콩
138,쥬씨,커피점/카페,커피전문점/카페/다방,서울특별시 마포구 만리재로 15,5호선 공덕,175.25796939062946,https://place.map.kakao.com/163796841,공덕,공덕역 쥬씨
139,엑소엑소,커피점/카페,커피전문점/카페/다방,서울특별시 광진구 자양로37길 7,5호선 아차산(어린이대공원후문),369.8768976528156,https://place.map.kakao.com/259990071,아차산,아차산역 엑소엑소
140,공차,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 국제금융로2길 7,5호선 여의도,83.40744918549069,https://place.map.kakao.com/19727050,여의도,여의도역 공차
141,쥬시,커피점/카페,커피전문점/카페/다방,서울특별시 서대문구 충정로6길 59,5호선 서대문,266.97960216056805,https://place.map.kakao.com/473119404,서대문,서대문역 쥬시
142,이디야커피우장산동점,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 우현로 17,5호선 화곡,503.9512049228953,https://place.map.kakao.com/1122372665,화곡,화곡역 이디야커피우장산동점
143,MOONCAFE,커피점/카페,커피전문점/카페/다방,서울특별시 송파구 동남로23길 52,5호선 개롱,370.8190404684586,https://place.map.kakao.com/16649234,개롱,개롱역 MOONCAFE
144,오픈키친,커피점/카페,커피전문점/카페/다방,서울특별시 광진구 아차산로70길 26,5호선 광나루(장신대),331.7812868623395,https://place.map.kakao.com/1528871115,광나루,광나루역 오픈키친
