,상호명,상권업종중분류명,상권업종소분류명,도로명주소,역명,거리,역,검색어,naver_map_url
2646,포타이,별식/퓨전요리,동남아음식전문점,서울특별시 영등포구 여의대로 56,9호선 여의도,84.7433594269357,여의도,여의도역 포타이,
2647,키다모,양식,정통양식/경양식,서울특별시 서초구 고무래로 6-6,7호선 반포,354.07781279236275,반포,반포역 키다모,https://pcmap.place.naver.com/restaurant/1260767697/review/visitor#
2648,체리블로썸,커피점/카페,커피전문점/카페/다방,서울특별시 은평구 증산로 461,3호선 연신내,1577.5669202352215,연신내,연신내역 체리블로썸,
2649,한솥도시락자양고점,패스트푸드,도시락전문점,서울특별시 광진구 뚝섬로 553,7호선 건대입구,462.4012403394719,건대입구,건대입구역 한솥도시락자양고점,
2650,라스베가스,유흥주점,룸살롱/단란주점,서울특별시 강북구 수유로 2,우이신설 화계,106.28467530134986,화계,화계역 라스베가스,
2651,장원전통한정식,한식,한식/백반/한정식,서울특별시 은평구 연서로 211-2,3호선 연신내,235.02947201104342,연신내,연신내역 장원전통한정식,
2652,아담한식탁,한식,한식/백반/한정식,서울특별시 마포구 동교로27길 78,2호선 홍대입구,459.8287494872335,홍대입구,홍대입구역 아담한식탁,https://pcmap.place.naver.com/restaurant/1123437120/review/visitor#
2653,정성본칼국수,분식,국수/만두/칼국수,서울특별시 종로구 대학로 128,4호선 혜화,57.50171540137729,혜화,혜화역 정성본칼국수,https://pcmap.place.naver.com/restaurant/13403647/review/visitor#
2654,삼삼국밥,한식,해장국/감자탕,서울특별시 성동구 성수이로 108,2호선 성수,52.829506176217784,성수,성수역 삼삼국밥,
2655,오늘로빵굽네,제과제빵떡케익,제과점,서울특별시 은평구 연서로 332,3호선 불광,958.4447793639612,불광,불광역 오늘로빵굽네,
2656,백합만개,일식/수산물,음식점-일식,서울특별시 강동구 천호대로 1005,8호선 천호(풍납토성),79.48738847781162,천호,천호역 백합만개,
2657,별바,유흥주점,빠/카페/스탠드빠,서울특별시 광진구 아차산로30길 15,2호선 건대입구,161.20439802464375,건대입구,건대입구역 별바,
2658,동대문엽기떡볶이,분식,떡볶이전문,서울특별시 중구 명동길 45,4호선 명동,213.33972057506747,명동,명동역 동대문엽기떡볶이,
2659,궁터,닭/오리요리,오리고기전문,서울특별시 양천구 중앙로45길 28-12,5호선 신정(은행정),452.2295952616143,신정,신정역 궁터,
2660,그리디몬,한식,한식/백반/한정식,서울특별시 영등포구 의사당대로 38,9호선 국회의사당,153.51203314701831,국회의사당,국회의사당역 그리디몬,https://pcmap.place.naver.com/restaurant/1613984567/review/visitor#
2661,형제식품점,한식,한식/백반/한정식,서울특별시 관악구 장군봉2길 42,2호선 봉천,371.97416461104683,봉천,봉천역 형제식품점,
2662,금가만대냉면,한식,냉면집,서울특별시 영등포구 대림로 109,2호선 구로디지털단지,421.4357410979946,구로디지털단지,구로디지털단지역 금가만대냉면,
2663,강정이닭,한식,한식/백반/한정식,서울특별시 동대문구 전농로 101,5호선 답십리,713.6271999478676,답십리,답십리역 강정이닭,
2664,카페보니또,커피점/카페,커피전문점/카페/다방,서울특별시 서초구 사평대로55길 123,7호선 학동,195.8690865748978,학동,학동역 카페보니또,
2665,신홍춘,중식,중국음식/중국집,서울특별시 중랑구 봉우재로43길 31,경의중앙 망우,342.9742184312836,망우,망우역 신홍춘,
2666,명당만두,분식,국수/만두/칼국수,서울특별시 은평구 응암로12길 10,경의중앙 가좌,1302.5245058853234,가좌,가좌역 명당만두,https://pcmap.place.naver.com/restaurant/1543858158/review/visitor#
2667,김광분의풀향기손칼국수,분식,국수/만두/칼국수,서울특별시 동작구 상도로 115,7호선 신대방삼거리,544.6484290087003,신대방삼거리,신대방삼거리역 김광분의풀향기손칼국수,https://pcmap.place.naver.com/restaurant/12975086/review/visitor#
